County,Bevin,Conway,Curtis,Total
Adair,2727,1268,116,4111
Allen,2344,977,76,3397
Anderson,3724,2635,370,6729
Ballard,1312,990,75,2377
Barren,5289,3568,358,9215
Bath,1045,1117,78,2240
Bell,2425,1556,157,4138
Boone,15842,7418,822,24082
Bourbon,2202,2510,145,4857
Boyd,4747,4154,281,9182
Boyle,3968,2948,336,7252
Bracken,854,680,54,1588
Breathitt,1313,1208,115,2636
Breckinridge,2648,1858,158,4664
Bullitt,9856,6492,686,17034
Butler,1786,807,63,2656
Caldwell,1838,1180,99,3117
Calloway,4742,3558,254,8554
Campbell,10671,8258,779,19708
Carlisle,899,561,22,1482
Carroll,867,923,70,1860
Carter,2405,1954,126,4485
Casey,2836,649,91,3576
Christian,4830,3446,211,8487
Clark,4551,3448,344,8343
Clay,2311,866,73,3250
Clinton,1531,444,30,2005
Crittenden,1450,705,58,2213
Cumberland,927,342,38,1307
Daviess,13483,10366,611,24460
Edmonson,1503,805,77,2385
Elliott,495,706,30,1231
Estill,1770,890,146,2806
Fayette,27788,38220,3945,69953
Fleming,1907,1284,117,3308
Floyd,3390,4392,282,8064
Franklin,5942,9839,1098,16879
Fulton,568,504,32,1104
Gallatin,739,525,52,1316
Garrard,2542,1158,171,3871
Grant,2433,1326,133,3892
Graves,5370,3189,268,8827
Grayson,3246,1732,186,5164
Green,2018,806,73,2897
Greenup,4432,3109,218,7759
Hancock,1114,1064,53,2231
Hardin,11586,8029,815,20430
Harlan,3099,1671,201,4971
Harrison,2093,1778,221,4092
Hart,2043,1379,132,3554
Henderson,4837,5117,297,10251
Henry,2126,1720,184,4030
Hickman,771,458,26,1255
Hopkins,5802,3524,268,9594
Jackson,2310,393,68,2771
Jefferson,74427,112232,6302,192961
Jessamine,7581,4134,526,12241
Johnson,3040,1432,177,4649
Kenton,18007,12301,1145,31453
Knott,1612,1141,132,2885
Knox,3706,1634,163,5503
Larue,2009,1214,137,3360
Laurel,8781,2663,345,11789
Lawrence,1616,973,66,2655
Lee,1042,422,72,1536
Leslie,1654,431,51,2136
Letcher,2360,1775,183,4318
Lewis,1833,584,75,2492
Lincoln,3289,1626,195,5110
Livingston,1340,927,64,2331
Logan,2345,1565,99,4009
Lyon,1208,1043,58,2309
Madison,10268,7348,764,18380
Magoffin,1229,987,66,2282
Marion,1591,2132,139,3862
Marshall,5969,4830,409,11208
Martin,1268,419,44,1731
Mason,1792,1531,95,3418
McCracken,9028,6031,394,15453
McCreary,1362,648,72,2082
McLean,1364,984,63,2411
Meade,3310,2838,296,6444
Menifee,1160,897,107,2164
Mercer,3517,2054,269,5840
Metcalfe,1344,888,95,2327
Monroe,1642,721,76,2439
Montgomery,3271,2479,240,5990
Morgan,1355,1009,103,2467
Muhlenberg,3613,3453,262,7328
Nelson,4902,4880,356,10138
Nicholas,563,857,54,1474
Ohio,3104,1979,127,5210
Oldham,10896,6403,699,17998
Owen,1444,1000,130,2574
Owsley,580,220,23,823
Pendleton,1567,936,112,2615
Perry,3276,1857,151,5284
Pike,6146,4741,336,11223
Powell,1335,1110,99,2544
Pulaski,10623,3664,467,14754
Robertson,247,202,16,465
Rockcastle,2536,744,132,3412
Rowan,2179,2321,169,4669
Russell,3312,1144,139,4595
Scott,6165,5232,617,12014
Shelby,6573,4575,436,11584
Simpson,1652,1059,62,2773
Spencer,3169,1705,169,5043
Taylor,3852,2260,174,6286
Todd,903,503,45,1451
Trigg,1746,1342,86,3174
Trimble,1033,797,65,1895
Union,1829,1928,91,3848
Warren,12411,9354,730,22495
Washington,1796,1205,129,3130
Wayne,2412,1239,86,3737
Webster,1567,1168,72,2807
Whitley,4772,1857,215,6844
Wolfe,689,763,41,1493
Woodford,3804,3704,495,8003
